mae,mse,rmse,r2,dataset,timestamp
0.765,1.476,1.215,0.849,portuguese_linear_regression,2025-09-23 10:22:21
0.765,1.476,1.215,0.849,portuguese_linear_regression,2025-09-27 15:04:48
0.765,1.476,1.215,0.849,portuguese_linear_regression,2025-09-27 17:24:58
0.765,1.476,1.215,0.849,portuguese_linear_regression,2025-09-27 17:25:30
0.765,1.476,1.215,0.849,portuguese_linear_regression,2025-09-27 17:25:36
0.765,1.476,1.215,0.849,portuguese_linear_regression,2025-09-27 18:15:39
0.765,1.476,1.215,0.849,portuguese_linear_regression,2025-09-27 20:50:04
0.765,1.476,1.215,0.849,portuguese_linear_regression,2025-09-27 20:53:43
0.765,1.476,1.215,0.849,portuguese_linear_regression,2025-09-27 20:54:21
0.765,1.476,1.215,0.849,portuguese_linear_regression,2025-09-27 20:59:00
0.765,1.476,1.215,0.849,portuguese_linear_regression,2025-09-27 21:00:13
0.765,1.476,1.215,0.849,portuguese_linear_regression,2025-09-27 21:07:29
